Suppression String, Description
PyAbstractClass,
PyArgumentEqualDefault,
PyArgumentList,
PyAssignmentToLoopOrWithParameter,
PyAttributeOutsideInit,
PyAugmentAssignment,
PyBroadException,
PyByteLiteral,
PyCallByClass,
PyCallingNonCallable,
PyChainedComparisons,
PyClassHasNoInit,
PyClassicStyleClass,
PyComparisonWithNone,
PyCompatibility,
PyDecorator,
PyDefaultArgument,
PyDeprecatedModules,
PyDeprecation,
PyDictCreation,
PyDictDuplicateKeys,
PyDocstring,
PyDocstringTypes,
PyExceptClausesOrder,
PyExceptionInherit,
PyFromFutureImport,
PyGlobalUndefined,
PyInconsistentIndentation,
PyInitNewSignature,
PyInterpreter,
PyListCreation,
PyMandatoryEncoding,
PyMethodFirstArgAssignment,
PyMethodMayBeStatic,
PyMethodOverriding, "Used for sub-class method variations (different signature, etc.)"
PyMethodParameters,
PyMissingConstructor, "Suppreses warning when a sub-class fails to call it's parent __init__"
PyNestedDecorators,
PyNonAsciiChar,
PyNoneFunctionAssignment,
PyOldStyleClasses,
PyPackageRequirements, "Suppresses import of a package not listed in setup 'requires' key, useful for optional packages"
PyPep8,
PyPep8Naming,
PyPropertyAccess,
PyPropertyDefinition,
PyProtectedMember, "Suppresses access to a protected member of a class (e.g. some_object._cant_touch_this)"
PyRaisingNewStyleClass,
PyRedeclaration,
PyRedundantParentheses,
PyReturnFromInit,
PySetFunctionToLiteral,
PyShadowingBuiltins,
PyShadowingNames,
PySimplifyBooleanCheck,
PySingleQuotedDocstring,
PyStatementEffect,
PyStringException,
PyStringFormat,
PySuperArguments,
PyTrailingSemicolon,
PyTupleAssignmentBalance,
PyTupleItemAssignment,
PyTypeChecker,
PyUnboundLocalVariable, "Suppresses 'referenced before assignment' warning"
PyUnnecessaryBackslash,
PyUnreachableCode,
PyUnresolvedReferences,
PyUnsupportedFeatures,
PyUnusedLocal,
